Unnamed: 0,Titulo_moderno,titulo_pal,titulo_lem,Manuscrito,Folios,Fragm?,Joint,Order in manuscript,Nombra autor,Comment
,Der Marktdieb,Ditz ist ein mere zv dem leben / Von gelten vnd von wider geben,diser sîn ein mere zuo der leben / von gelten und von wider geben,cpg341,,,,89,,
,Der Hund am Wasser,Ditz ist ein mere / Von einem hvnde gewere,diser sîn ein mere / von ein hunt gewern,cpg341,,,,90,,
,Das Einhorn,Hie hebet sich ein mere an / Von einem werlichen man,hie heben sich ein mere an / von ein wærlich man,cpg341,,,,91,,
,Die beiden Königinnen,Ditz ist ein selzen mere / Von vier scharen lobebere,diser sîn ein seltsæne mere / von vier scharen lobebære,cpg341,,,,92,,
,Des Königs alte Kleider,Ditz ist von gotes alten cleidern / Nieman des sol geweigern,diser sîn von got alt kleit / nieman der sol weigern,cpg341,,,,93,,
,Der Baum mit dem dürren Ast,Ditz ist von den alten mannen / Die ivnge hvsvrowen haben,diser sîn von der alt man / die junc hûsvrouwe haben,cpg341,,,,94,,
,"Vogel, Rose und Distel",Ditz ist von den bosen hvsvrowen / Die sich eren berovben,diser sîn von der boese hûsvrouwe / die sich eren berovben,cpg341,,,,95,,
,Die Bremse im Blütenhaus,Ditz ist von einem tvmben man / Der boeser blicke walten kan,diser sîn von ein tump man / der boese blicke walten kan,cpg341,,,,96,,
,Von bösen Frauen,Welt ir mit vride beliben / So hvt evh vor vbelen wiben,welt sie mit vride belîben / sô hût evh vor übel wîp,cpg341,,,,97,,
,Mahnung zu rechtzeitiger Busse,Ditz ist von der hochvart / Die mit dem tevfel ist veswart,diser sîn von der hôchvart / die mit der tiuvel sîn veswart,cpg341,,,,98,,
,Die Heuschrecken,Die sich von hochvart dvnkent groz / Di sint der haberschrecken genoz,die sich von hôchvart dvnkent grôz / die sint der haberschrecke genôz,cpg341,,,,99,,
,Von der Hoffart,Daz machet des vbeln geistes kraft / Die mit der hchvart sint behaft,daz machen der übel geist kraft / die mit der hchvart sint beheften,cpg341,,,,100,,
,Vom Tode,Ditz ist ein mere besvnder / Von einem hvnde grozev wunder,diser sîn ein mere besunder / von ein hunt grozev wunder,cpg341,,,,101,,
,Die irdenen Gefässe,Ditz mere ist wie ein kvnic waz / Der macht erdeinev vaz,diser mere sîn wie ein künic swaz / der macht erdeinev vaz,cpg341,,,,102,,
,Der Salamander,Hie stet ein vnd ander / Vnd von einem tier heizet Salemander,hie stet ein und ander / und von ein tier heizzen salamander,cpg341,,,,103,,
,Die ewige Verdammnis,Ditz ist wie ein mensche mvge / Sich verwurken vnd niht entvge,diser sîn wie ein mensche mügen / sich verwirken und niht entvge,cpg341,,,,104,,
,Die verlorenen Christen,Khetzer Jvden heyden / Dvnchent vns die gotes leiden,ketzer jvden heiden / dunken wir die got leiden,cpg341,,,,105,,
,Die Buße des Sünders,Ditz ist ein mere / Von einem svndere,diser sîn ein mere / von ein svndere,cpg341,,,,106,,
,Die sechs Teufelsscharen,Ditz ist von wiben vnd von mannen / Die vnchecscheit vil han begangen,diser sîn von wîp und von man / die vnchecscheit vil han begân,cpg341,,,,107,,
,Ein Beispiel Salomos,Ditz ist von got ein mere / Vnd zv sagen heilbere,diser sîn von got ein mere / und zuo sagen heilbære,cpg341,,,,108,,
,Das entweihte Gotteshaus,Swelch gotes hvs gemachet stat / vnd man iz wol gewihet hat,swelch got hûs machen stat / und man ez wol wîhen haben,cpg341,,,,109,,
,Die törichten Pfaffen,Ditz ist von den pfaffen / Di sint gelich den affen,diser sîn von der pfafen / die sint gelich der afen,cpg341,,,,110,,
,Der Wolf und der Ochsenhirt,Ditz ist wie ein man / Einen wolf iagen began,diser sîn wie ein man / einen wolf jagen began,cpg341,,,,111,,
,Der Tropfen auf dem Stein,Ich chom gegangen eine / zv einen holen steine,ich komen gân eine / zuo einen holen stein,cpg341,,,,112,,
,Glück im Traum,Mir ist geschehen als einem geschach / Der slief vnd hete gemach,ich sîn geschehen als ein geschehen / der slâfen und haben gemach,cpg341,,,,113,,
,Der Wucherer,Ditz ist ein mere / Von einen wucherere,diser sîn ein mere / von einen wuocherære,cpg341,,,,114,,
,Weiberzauber,Ditz ist wie die wip ir man / Mit zovber gewunnen han,diser sîn wie die wîp sie man / mit zovber gewinnen han,cpg341,,,,115,,
,Die Rebhühner,Die Rephvner ein ander stelent / Ir eier daz si sere helnt,die rephvner ein ander steln / sie ei daz si sêre heln,cpg341,,,,116,,
,Ehemanns Rat,Ditz ist wie ein man / Siner frvmkeit wider sin wip niht geniezen kan,diser sîn wie ein man / er frvmkeit wider sin wîp niht geniezen kan,cpg341,,,,117,,
,Hofhund und Jadghunde,Ditz ist ein mere / Von den bvren seltzene,diser sîn ein mere / von der bvren seltsæne,cpg341,,,,118,,
,Der Knecht in Herrenkleidern,Ditz ist wie ein richer man / Sinen kneht cleidet san,diser sîn wie ein rîche man / sinen kneht kleiden san,cpg341,,,,119,,
,Die zwei Märkte,Ditz ist wie man in einer stat / Zwene market waren gesat,diser sîn wie man in ein stat / zwei market waren setzen,cpg341,,,,120,,
,Die Milch und die Fliegen,Ditz ist von den vliegen / Die manger hande betrigen,diser sîn von der vliegen / die manec hant betriegen,cpg341,,,,121,,
,Der ungeratene Sohn,Ditz ist ein gebere / Vnd ist von eines herren svn ein mere,diser sîn ein gebâren / und sîn von eines herre sun ein mere,cpg341,,,,122,,
,Die Schlange ohne Gift,Slangen sint die lazent ir nit / In dem iar zv einer zit,slange sint die lâzen sie niht / in der jâr zuo ein zît,cpg341,,,,123,,
,Der geprüfte Diener,Ditz ist ein mere vil gvte / Wie ein herre sinen man versvchte,diser sîn ein mere vil gvte / wie ein herre sinen man versuochen,cpg341,,,,124,,
,Die Klage,Dise dinch claget zv mere / Des bvches tichtere,diser dinc klagen zuo mere / der bvches tihtære,cpg341,,,,125,,
,Der König im Bad,Ditz ist von einem kvnge here / Der heizet depovit potentes desede,diser sîn von ein künic here / der heizzen depovit potentes desede,cpg341,,,,126,,Latein
,Die fünf teuflichen Geister,Ditz ist von dem tevfel geseit / Der fvnf geiste in die werlt bereit,diser sîn von der tiuvel sagen / der vünf geist in die werlt bereit,cpg341,,,,127,,
,Der Borte,Ditz buoch heizet der Port / Got gebe vns des himels hort,diser buoch heizzen der port / got geben wir der himel hort,cpg341,,,,128,,
,Die Maze,Ditz buvchel heizet die Maze / Got helf vns an die himel straze,diser buvchel heizzen die mâze / got helfen wir an die himel strâze,cpg341,,,,129,,
,Der Welt Lohn,Ditz buoch heizet der werlt lon / Vnd stet mir fvr ein bon,diser buoch heizzen der werlt lon / und stet ich vür ein bon,cpg341,,,,130,,
,Heinrich von Kempten,Ditz buoch ist keyser Otte genant / Got der helf vns in sin lant,diser buoch sîn keiser ote nennen / got der helfen wir in sin lant,cpg341,,,,131,,
,Von der Barmherzigkeit,Ditz mere vns hie sait / Von der barmeherzikait,diser mere wir hie sagen / von der barmeherzikait,cpg341,,,,132,,
,Der arme Heinrich,Ditz ist der arme Heinrich / Got mach vns im gelich,diser sîn der arme Heinrich / got mach wir er gelîch,cpg341,,,,133,,
,Der Gevatterin Rat,Ditz mere ist wie ein bloch wart begraben von der kvndigen gevatern rat,diser mere sîn wie ein bloch werden begraben von der kvndigen gevatere rat,cpg341,,,,134,,
,Das erzwungene Gelübde,Ditz ist ein seltzenes mere / Wie ein man sin wip bat / daz si nach sinem tode ane man were,diser sîn ein seltzenes mere / wie ein man sin wîp bat / daz si nach er tôt ane man were,cpg341,,,,135,,
,Ehescheidungsgespräch,Ditz mere ist von man vnd von wibe / Die bie ein ander wolden niht beliben,diser mere sîn von man und von wîp / die bîe ein ander wellen niht belîben,cpg341,,,,136,,
,Die drei Wünsche,Ditz ist ein mere ze halten / Von drin wunsch gewalten,diser sîn ein mere zuo halten / von darinne wunsch gewalten,cpg341,,,,137,,
,Der begrabene Ehemann,Ditz mere wie ein wip iren man / Lebendich begrvb ysan,diser mere wie ein wîp sie man / lebendec begraben iesâ,cpg341,,,,138,,
,Das heiße Eisen,Ditz ist ein mere gvt genvc / Wie ein wip daz heize ysen trvc,diser sîn ein mere guot genuoc / wie ein wîp daz heize îsen tragen,cpg341,,,,139,,
,Der einfältige Ritter,Iz reit ein ritter der was tymp / vf einer straze die was chrvmp,ez reit ein ritter der was timp / ûf ein strâze die was krump,cpg341,,,,140,,
,Der Käfer im Rosenhaus,Ditz ist von einem goltvarn kever san / Der sich gelichet einer vrowen wol getan,diser sîn von ein goltvar käfer san / der sich gelichet ein vrouwe wol tuon,cpg341,,,,141,,
,Der Gärtner,Ditz ist ein hvbsch mere / Von einem garthenere,diser sîn ein hövesch mere / von ein gartenære,cpg341,,,,142,,
,Die Königin vom Mohrenland,Ditz mere von einer kvnigin ist vnd von einer kvnigin vz moren lant,diser mere von ein küniginne sîn und von ein küniginne ûz moren lant,cpg341,,,,143,,
,Das Wildpret,Ditz mere ist stete / Von dem wiltprete,diser mere sîn stat / von der wiltbrât,cpg341,,,,144,,
,Der Kater als Freier,Ditz ist des kathern mere / Got bvz vns vnser swere,diser sîn der kater mere / got buoze wir wir swere,cpg341,,,,145,,
,Die Katze,Ditz ist von den katzen / Die bizen vnd kratzen,diser sîn von der katze / die bîzen und kratzen,cpg341,,,,146,,
,Das Katzenauge,Ditz ist wie ein kvnich ysan / Einer katzen ovge gewan,diser sîn wie ein künic iesâ / ein katze ouge gewinnen,cpg341,,,,147,,
,Der unfruchtbare Baum,Ditz ist ein mere / Von einem lvgenere,diser sîn ein mere / von ein lügenære,cpg341,,,,148,,
,Der junge Baum,Hie hebet sich ein mere an / Von einem Jvngen man,hie heben sich ein mere an / von ein jvngen man,cpg341,,,,149,,
,Die Gäuhühner,Ditz ist ein hvbschez mere / Von den Gevhvneren loberere,diser sîn ein hvbschez mere / von der gevhvneren loberere,cpg341,,,,150,,
,Der Tor und das Feuer,Ditz ist ein hvbschez mere / Von einem toren der redet seltzene,diser sîn ein hvbschez mere / von ein toren der reden seltsæne,cpg341,,,,151,,
,Die ungehorsamen Juden,Ditz ist ein hvbschez mere / Von den Jvden wandelbere,diser sîn ein hvbschez mere / von der jvden wandelbære,cpg341,,,,152,,
,Der Juden Abgott,Ditz ist ein mere von einem apgot / Vnd ist von des tevfels gebot,diser sîn ein mere von ein abgot / und sîn von der tevfels gebot,cpg341,,,,153,,
,Der Turse,Ditz schone mere sol man gerne lesen / Wie ein rise zwelfe man gezse,diser schoene mere sol man gerne lesen / wie ein rise zwelf man ezzen,cpg341,,,,154,,
,Die reiche Stadt,Ditz ist ein schones mere / Von einem nidere,diser sîn ein schoene mere / von ein nidere,cpg341,,,,155,,
,Der arme und der reiche König,Ditz ist ein hvbsche ler / Von zwein kvnigen her,diser sîn ein hvbsche lêre / von zwei künic her,cpg341,,,,156,,
,Der wunderbare Stein,Ditz ist von einem Ratgebere / Ein vil hvbsches mere,diser sîn von ein râtgebe / ein vil hvbsches mere,cpg341,,,,157,,
,Der junge Ratgeber,Ditz ist daz ander mere / Von einem Jvngen Ratgebere,diser sîn daz ander mere / von ein jvngen râtgebe,cpg341,,,,158,,
,Frauenehre (I),Ditz ist von der vrowen ere / Die die werlt zieret sere,diser sîn von der vrouwe ere / die die werlt zieren sêre,cpg341,,,,159,,
,Frauenehre (II),Ditz ist ein schone lere / Von einem ackermanne here,diser sîn ein schoene lere / von ein ackerman here,cpg341,,,,160,,
,Die Äffin und die Nuss,Ditz ist von einer Effinne / Die pflag seltzener sinne,diser sîn von ein efinne / die phlegen seltzener sinne,cpg341,,,,161,,
,Der Wolf und das Weib,Ditz ist von dem wolfe ein mer / Daz leret vns der Stricker,diser sîn von der wolfe ein mer / daz lêren wir der Strickære,cpg341,,,,162,,
,"Von Eseln, Gäuchen und Affen",Esel govch vnd affen / Den ist wunderlich ere beschaffen,esel gouch und afen / der sîn wunderlich ere beschafen,cpg341,,,,163,,
,Frauenleben und Pfaffenleben,Swer got will minnen / Der mag wol selde gewinnen,swer got will minnen / der mügen wol selde gewinnen,cpg341,,,,164,,
,Die geliehenen Kleider,Ditz ist ein schoene mere genvck / Wie ein Ritter entnomen cleider trvck,diser sîn ein schoene mere genvck / wie ein ritter entnemen kleit trvck,cpg341,,,,165,,
,Die zwei Herren,Ditz ist von zwein herren ein mere / Die warn ganczer triwen gewere,diser sîn von zwei herre ein mere / die wesen ganz triuwe gewern,cpg341,,,,166,,
,Der Hort,Ditz ist ein gvt mere gehort / Wie ein man vant grozzen hort,diser sîn ein guot mere hoeren / wie ein man vinden grôz hort,cpg341,,,,167,,
,Der Kirchtag,Ditz mere ist wie ein Ritter rait / Vf einen kirchtack wol gemait,diser mere sîn wie ein ritter rîten / ûf einen kirchtac wol gemeit,cpg341,,,,168,,
,Der Krämer,Ditz ist von einem kramere / Ein vil schones mere,diser sîn von ein krâmære / ein vil schoene mere,cpg341,,,,169,,
,Die Eule und der Habicht,Ditz ist der Evlen mere / Got buzze vns vnser swere,diser sîn der evlen mere / got büezen wir wir swere,cpg341,,,,170,,
,Der verflogene Falke,Ditz ist wie sich ein valke vf den se vervlock / Daz ist ein seltzen mere noch,diser sîn wie sich ein valke ûf der sie vervliegen / daz sîn ein seltsæne mere noch,cpg341,,,,171,,
,Der Rabe mit den Pfauenfedern,Ditz ist des Raben mere / Got bvezze vns vnser swere,diser sîn der raben mere / got bvezze wir wir swere,cpg341,,,,172,,
,Der Hahn und die Perle,Ditz ist von einem hane ein mere / Got helfe vns vil gewere,diser sîn von ein han ein mere / got helfen wir vil gewern,cpg341,,,,173,,
,Der Schalk und die beiden Könige,Ditz ist von einem schalke gvt / Der was hvbsch vnd wol gemvt,diser sîn von ein schalc guot / der was hövesch und wol gemuot,cpg341,,,,174,,
,Der Ochse und die Maus,Ditz ist von einem ochsen her / Den baiz ein mavs harte ser,diser sîn von ein ohse her / der baiz ein mavs herte sêr,cpg341,,,,175,,
,Das wilde Roß,Ditz ist von vnstete wiben / Die chvnnen vrevde vertriben,diser sîn von unstæte wîp / die kunnen vröude vertrîben,cpg341,,,,176,,
,Die freigebige Königin,Ditz ist von einer milten kvniginne / Got gebe vns die waren minne,diser sîn von ein milte küniginne / got geben wir die waren minne,cpg341,,,,177,,
,Ehre und Seelenheil,Des mannes ist niht mehre / wan sele lip vnd ere,der man sîn niht mehre / wan sêle lip und ere,cpg341,,,,178,,
,Hase und Löwe,Ist der hase also getan / Daz er der lewen wil bestan,sîn der hase alsô tuon / daz er der lëwe wil bestân,cpg341,,,,179,,
,Der Hase,Ich hore sagen vur war / Der einen hasen zehen iar,ich hore sagen vur war / der einen hase zehen jâr,cpg341,,,,180,,
,"Frau, Ehre und Frau Schande",Ditz ist von vrowen eren / Vnd von der schanden strite zv leren,diser sîn von vrouwe eren / und von der schande strite zuo leren,cpg341,,,,181,,
,Der Wucherer,Ditz sait der Strickere / Von einem wuchere,diser sagen der Strickære / von ein wuocher,cpg341,,,,182,,
,Die beiden Knappen,Ditz ist von zweier hande knehte phliht / Der eine wolde Ritter werden der ander niht,diser sîn von zwei hant kneht phliht / der ein wellen ritter werden der ander niht,cpg341,,,,183,,
,Von Edelsteinen,Ditz ist von den edelen steinen / von den grozzen vnd von den cleinen,diser sîn von der edelen stein / von der grôz und von der kleine,cpg341,,,,184,,
,Der nackte Bote,Hie ist wie ein kneht ane vie / Vnd nacket vur vrowen in ein stvben gie,hie sîn wie ein kneht ane vie / und nacket vur vrouwe in ein stieben gân,cpg341,,,,185,,
,Der nackte Ritter,Ditz ist ein selzen vart / Wie ein Ritter entnacket wart,diser sîn ein seltsæne vart / wie ein ritter entnacten werden,cpg341,,,,186,,
,Der kluge Knecht,Ditz ist von einen kvendigen knehte Ein vil seltsene mere – radiert,diser sîn von einen kvendigen kneht ein vil seltsæne mere – radiert,cpg341,,,,187,,
,Der kluge Knecht,Horet was einem manne geschach / an dem sin elich wip zebrach,hoeren was ein man geschehen / an der sin êlich wîp zerbrechen,cpg341,,,,188,,
,Die Martinsnacht,Hie ist wie an sente Mertines naht / Ein gebovwer so vaste trank vber maht,hie sîn wie an sente mertines naht / ein gebovwer sô vaste trinken über maht,cpg341,,,,189,,
,Der unbelehrbare Zecher,Ditz ist von einem win slvnt / Der vertrank manich pfvnt,diser sîn von ein wîn slvnt / der vertrank manec phunt,cpg341,,,,190,,
,Der durstige Einsiedel,Ditz ist von einem Lvderere / Ein vil hvbschez mere,diser sîn von ein lvderere / ein vil hvbschez mere,cpg341,,,,191,,
,Edelmann und Pferdehändler,Ditz ist wie ein riche arger man hat / Einen rostevscher vmb veile ros bat,diser sîn wie ein riche arc man haben / einen rostevscher umbe veile ros bat,cpg341,,,,192,,
,Des Muses Lehre,Ditz ist des mvsez lere / Got vns zv himel mere,diser sîn der mvsez lere / got wir zuo himel mere,cpg341,,,,193,,
,Der Wolf und die Gänse,Ditz ist von dem wolfe vnd von den gensen ein mer / Daz leret der Stricker,diser sîn von der wolfe und von der gans ein mer / daz lêren der Strickære,cpg341,,,,194,,
,Der Wolf und sein Sohn,Hie ist wie ein wolf waz / Der einen esel vur einen krebz az,hie sîn wie ein wolf swaz / der einen esel vur einen krebez ezzen,cpg341,,,,195,,
,Der Esel,Ditz ist von einem Esel ein mere / Daz leret vns der Strickere,diser sîn von ein esel ein mere / daz lêren wir der Strickære,cpg341,,,,196,,
,Der Weidemann,Ditz mere ist von einem weide man / Daz leret vns der Stricker san,diser mere sîn von ein weide man / daz lêren wir der Strickære san,cpg341,,,,197,,
,Der Wolf und der Bauer,Ditz ist ein hvbsch mere / Von einem wolfe zv lere,diser sîn ein hövesch mere / von ein wolfe zuo lere,cpg341,,,,198,,
,Die Herren zu Österreich,Ditz ist ein mer rich / Von dem herren zv Osterich,diser sîn ein mer rich / von der herre zuo osterich,cpg341,,,,199,,
,Falsche und rechte Freigiebigkeit,Ditz mere ist hvbsch vnd gvt / Von einem Ritter hoch gemvt,diser mere sîn hövesch und guot / von ein ritter hôch gemuot,cpg341,,,,200,,
,Der Richter und der Teufel,Ditz ist von dem Richter hie / Mit dem der tevfel gie,diser sîn von der rihtære hie / mit der der tiuvel gân,cpg341,,,,201,,
,Der Waldschrat,Ditz ist ein hvbsch mere / Von einem walrschreteln zv lere,diser sîn ein hövesch mere / von ein walrschreteln zuo lere,cpg341,,,,202,,
,Die beiden Zimmerleute,Ditz ist ein schones mere / Von zwein zimbermannen gewere,diser sîn ein schoene mere / von zwei zimberman gewern,cpg341,,,,203,,
,Der falsche Blinde,Ditz ist ein hvbschez mere / Von einem triegere,diser sîn ein hvbschez mere / von ein triegære,cpg341,,,,204,,
,Gegen Gleichgeschlechtichkeit,Ditz ist von den menneleren / Daz sagt der Strickere ze leren,diser sîn von der mennelære / daz sagen der Strickære zuo lêren,cpg341,,,,205,,
,Frauenerziehung,Ditz bvch ist daz vbel weip / Der tevfel kvm noch in ir aller lip,diser buoch sîn daz übel wîp / der tiuvel komen noch in sie al lip,cpg341,,,,206,,
,Der Sperber,Ditz ist ein schonez mere / Von einem sperwere,diser sîn ein schoene mere / von ein sperwære,cpg341,,,,207,,
,Herzmaere,Ditz mer ist daz herze genant / Vnt tut triwe vns bekant,diser mer sîn daz herze nennen / und tuon triuwe wir bekant,cpg341,,,,208,,
,Das Gänslein,Ditz mere heizzet daz genselin / Vnd sagt von einem munche vnd von einem magtein,diser mere heizzen daz gans / und sagen von ein münech und von ein magtein,cpg341,,,,209,,
,Bestraftes Misstrauen,Ditz mere vns hie seit / Von reiner vrowen stetikeit,diser mere wir hie sagen / von reine vrouwe stætecheit,cpg341,,,,210,,
,Das Rädlein,Ditz buoch heizzet daz Redelin / Vnd ist von einem maidelin,diser buoch heizzen daz redelin / und sîn von ein maidelin,cpg341,,,,211,,
,Das Almosen,Ditz ist ein seltsen mere gnvc / Von dem warmen almvsen klvc,diser sîn ein seltsen mere genuoc / von der warm almvsen klvc,cpg341,,,,212,,
,Der kluge Knecht,Ditz ist von einem pfaffen / der wart dar nach zeinen affen,diser sîn von ein pfafen / der werden dâr nach zeinen afen,cpg341,,,,213,,
,Der hohle Baum,Ditz ist von einem alweren man / den sin wip effen began,diser sîn von ein alweren man / der sin wîp efen beginnen,cpg341,,,,214,,
,Der Hasenbraten,Ditz ist von den hasen / Die man iaget vf den rasen,diser sîn von der hase / die man jagen ûf der rase,cpg341,,,,215,,
,Rittertreue,Ditz ist von einem Ritter zart / Der in einem miste begraben wart,diser sîn von ein ritter zart / der in ein missen begraben werden,cpg341,,,,216,,
,Die alte Mutter,Hie empfalch keiser Fridrich einem vremden Ritter eines andern ritters mvter,hie enphelhen keiser fridrich ein vremden ritter eines ander ritter muoter,cpg341,,,,217,,
,Schrätel und Wasserbär,Ditz ist von einem Schretel / vnd von einem wazzer bern,diser sîn von ein schrat / und von ein wazzer bern,cpg341,,,,218,,
,Johann von Michelsberg,Des in fremden landen han / Ob ich cht gutes tichten kann,der in fremden lant han / ob ich cht guot tihten kunnen,cpg341,,,,219,,
,Der Traum von der Liebe,,,A94,,,,1,,
,Herzmaere,Dise mére mahte Meister gotfrit von strazburg vn seit vo der minne,diser mêr mahte meister gotfrit von strazburg und sagen von der minne,A94,,,,2,,
,Der Ritter unter dem Zuber,Dis ist von der wibe list,diser sîn von der wîp list,A94,,,,3,,
,Frau Minne warnt vor Lügen,Dis mére seit von der minnen,diser mêr sagen von der minnen,A94,,,,4,,
,Der Sperber,,,A94,,,,5,,
,Neun Männer  Neun Frauen,So sint dis liedere,sô sint diser liedere,A94,,,,6,,
,Mahnung,,,A94,,,,7,,
,Kettenreime,,,A94,,,,8,,
,Lügenrede,So ist dis von lúgenen,sô sîn diser von liegen,A94,,,,9,,
,Traugemundslied,,,A94,,,,10,,
,Lotterspruch,,,A94,,,,11,,
,Judeneid,Dis ist der iuden eit,diser sîn der Jude eit,A94,,,,12,,
,Vom Tavernenleben,,,A94,,,,13,,
,Wer kann allen recht tun,hie stot wie ein man tuot / so dunket es nieman guot,hie stân wie ein man tuon / sô dunken es nieman guot,A94,,,,14,,
,Die sechs Farben,Dis ist von den sehs varwen,diser sîn von der sehs varwen,A94,,,,15,,
,Minner und Trinker,Dis ist der luoderer vnd der minner,diser sîn der luoderære und der minner,A94,,,,16,,
,Liebe und Schönheit,Dis ist liebe vnde schoene,diser sîn liebe und schoene,A94,,,,17,,
,Der arme Heinrich,Dis ist von dem armen heinriche,diser sîn von der armen heinriche,A94,,,,18,,
,Das Kerbelkraut (Weiberlist),Dis seit von der wibe list,diser sagen von der wîp list,A94,,,,19,,
,Vom mangelnden Hausrat,Dis ist von dem huerate,diser sîn von der huerate,A94,,,,20,,
,Vom Pfennig,Dis ist von dem pfenninge,diser sîn von der phenninc,A94,,,,21,,
,Aristoteles und Phyllis,Dis seit von allexander vnd alestotiles,diser sagen von Alexander und alestotiles,A94,,,,22,,
,Der Herbst und der Mai,Dis ist von dem herbeste vnd von den meigen,diser sîn von der herbest und von der meie,A94,,,,23,,
,Sekte der Minner,Dise mére ist von der minnen,diser mêr sîn von der minnen,A94,,,,24,,
,Die halbe Birne,Dis ist von der bir,diser sîn von der bir,A94,,,,25,,
,Das Häslein,Dis ist von dem heselin,diser sîn von der heselin,A94,,,,26,,
,Das Auge,Dis ist von eime getruwen ritter,diser sîn von ein trûwen ritter,A94,,,,27,,
,Barlaam und Josaphat,Dis ist ein buoch von barlam,diser sîn ein buoch von barlam,A94,,TRUE,,28,,
,Studentenabenteuer A,Hye hebt sich An die gut geselschaft,hie heben sich an die guot geselleschaft,W2885,,,,1,,
,Der Hellerwertwitz,Hie hebet an div helbert witz,hie heben an die helbert witze,W2885,,,,2,,
,Das Herzmaere,Daz ist daz hertz mëre,daz sîn daz herze mëre,W2885,,,,3,,
,Die halbe Decke B,Daz mer von dem chotzen,daz mer von der kotze,W2885,,,,4,,
,Die Bärenjagd,Daz mer von dem peren,daz mer von der ber,W2885,,,,5,,
,Frau Seltenrein,Daz ist von fraw Selten rain,daz sîn von vrouwe selten reine,W2885,,,,6,,
,Berchta,Daz mer von der stempen,daz mer von der stempen,W2885,,,,7,,
,Der Ritter im Hemd,Der ritter mit der niderwat,der ritter mit der nidergewant,W2885,,,,8,,
,Die Wette,Von der pauren Chirchweihe,von der gebûr chirchweihe,W2885,,,,9,,
,Pyramus und Thisbe,Von Pÿramo vnd Tispe / Den zwain lieben geschah vil we,von pÿramo und tispe / der zwei lieben geschehen vil wê,W2885,,,,10,,
,Minner und Trinker,Von dem ludrer vnd von dem Minner ain gut mer,von der ludrer und von der minner ein guot mer,W2885,,,,11,,
,Die halbe Birne,Der ritter mit der halben piren,der ritter mit der halben bir,W2885,,,,12,,
,Die Meierin mit der Geiß,Von der schon mairin,von der schoene meierinne,W2885,,,,13,,
,Der Sperber,Hye hebt an der sparber,hie heben an der sperwære,W2885,,,,14,,
,Das heiße Eisen,Von dem haizzen eisen,von der heizzen eisen,W2885,,,,15,,
,Adam und Eva,Daz ist ain gut predig,daz sîn ein guot bredigen,W2885,,,,16,,
,Der Käfer im Rosenhaus,Daz mër von dem kefer,daz mer von der käfer,W2885,,,,17,,
,Von einem Hofhund,Hie hebt an der hofwart,hie heben an der hovewart,W2885,,,,18,,
,Der Rabe mit den Pfauenfedern,Daz mer von dem rappen,daz mer von der rappe,W2885,,,,19,,
,Hofzucht,Daz ist des tanhawsers geticht vnd ist gut hofzucht,daz sîn der tanhawsers tihten und sîn guot hovezuht,W2885,,,,20,,
,Der Ritter mit den Nüssen,Von dem ritter mit den Nuzzen,von der ritter mit der nütze,W2885,,,,21,,
,Der betrogene Blinde,Daz mër von dem plinden,daz mer von der blint,W2885,,,,22,,
,Der wahre Freund,Ain eben pild von dem tummen mann,ein eben bilde von der tump mann,W2885,,,,23,,
,Das Gänslein,Daz mer von der gens,daz mer von der gans,W2885,,,,24,,
,Die alte Mutter,Daz mer von der alten Muter,daz mer von der alt muoter,W2885,,,,25,,
,Tor Hunor,Daz mer von dem toren,daz mer von der toren,W2885,,,,26,,
,Der Minne Porten,Daz ist der minne porten,daz sîn der minne porten,W2885,,,,27,,
,Cato,Hie hebt an der kato,hie heben an der kato,W2885,,,,28,,
,Der Schüler von Paris B,Hie hebt an div red von Paris von zwain lieben,hie heben an die red von paris von zwei lieben,W2885,,,,29,,
,Die Heidin,Hie hebet an div haidinne,hie heben an die haidinne,W2885,,,,30,,
,Die goldene Schmiede,Hie hebt an div Guldein smitt,hie heben an die guldîn smit,W2885,,,,31,,
,Der Schlegel,Hie hebt an daz mer von dem schlegl,hie heben an daz mer von der schlegl,W2885,,,,32,,
,Der Gevatterin Rat,Daz mer von dem ploke,daz mer von der ploke,W2885,,,,33,,
,Gold und Zers,Ain gut mer von dem Gold Vnd von dem zers,ein guot mer von der golt und von der Zers,W2885,,,,34,,
,Die eingemauerte Frau,Von ainem vbeln weib,von ein übel wîp,W2885,,,,35,,
,Von einer Kröte,Ain mer von ainer kroten,ein mer von ein krote,W2885,,,,36,,
,Das Schneekind,Daz mer von ainem sne pallen,daz mer von ein snê palle,W2885,,,,37,,
,Die drei Wünsche,Ain mer von drein wunschen,ein mer von darinne wünschen,W2885,,,,38,,
,Der nackte Bote,Ain mer von des herren kneht / Vnd von der pad stuben,ein mer von der herre kneht / und von der biten stieben,W2885,,,,39,,
,Das erzwungene Gelübde,Daz mer von dem weib an man,daz mer von der wîp an man,W2885,,,,40,,
,Der Wolf und sein Sohn,Ain mer von dem wolfe,ein mer von der wolfe,W2885,,,,41,,
,Die Kupplerin,Ain mer von der kawflerin,ein mer von der kawflerin,W2885,,,,42,,
,Der schwangere Müller,Ain mer von ainem mulner,ein mer von ein mülnære,W2885,,,,43,,
,Die Martinsnacht,Ain mer von sant marteins dieb,ein mer von sant Martinus diep,W2885,,,,44,,
